index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
203,2214-0507,,125.0,90.0,,45.0,80.0,,,8.0,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,"±0,25",,,50,H7,не менее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,
204,2214-0507,,200.0,,,,48.0,,,8.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Праворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2214-0508,,125.0,90.0,,45.0,80.0,,,10.0,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,"±0,25",,,50,H7,не менее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,
206,2214-0508,,200.0,,,,48.0,,,8.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Леворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,222-00259,,11.0,,,20.0,50.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,11.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2220-0171,,3.0,,,8.0,28.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2220-0172,,3.0,,,8.0,28.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2220-0173,,3.0,,,8.0,28.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2220-0174,,3.0,,,8.0,28.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2220-0175,,3.5,,,8.0,28.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
