index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
13262,2360-0116,3.6,,,35.0,71.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,3.6,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13263,2360-0117,3.8,,,35.0,71.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,3.8,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13264,2360-0118,4.0,,,38.0,76.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,4.0,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13265,2360-0119,4.2,,,38.0,76.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,4.2,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13266,2360-0120,4.5,,,41.0,81.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,4.5,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13267,2360-0121,4.8,,,41.0,81.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,4.8,,11.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13268,2360-0122,5.0,,,44.0,87.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,5.0,,12.0,36.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13269,2360-0123,5.2,,,44.0,87.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,5.2,,12.0,36.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13270,2360-0124,5.5,,,47.0,93.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,5.5,,12.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13271,2360-0125,6.0,,,47.0,93.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,6.0,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13272,2360-0126,6.3,,,47.0,93.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,6.3,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13273,2360-0127,6.5,,,47.0,93.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,6.5,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
