index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
84,2100-0423,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,
85,2100-0424,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,
86,2100-0461,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,
87,2100-0462,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,
88,2100-0463,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,10.0,Токарный,,
89,2100-0464,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,10.0,Токарный,,
90,2100-0465,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,
91,2100-0466,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,
92,2100-0467,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
93,2100-0468,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
94,2100-0469,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
95,2100-0470,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
96,2100-0471,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
97,2100-0472,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
98,2100-0473,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
99,2100-0474,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
100,2100-0475,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
101,2100-0476,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
102,2100-0477,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
103,2100-0478,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,
104,2100-0479,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
