index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_1,P,d_,Направление,B,K,Точность,D_2,l_1_,Серия,omega_,r_,D_ном.,D_1_доп.,D_2_доп.,L_1,L_2,L_3,L_3_доп.,Разряд,Тип_хвостовика,l_откл._,L_откл.,r_откл._,l_0_,k_,K_откл.,a_откл._
3318,2300-0122,,0.8,,,10.0,30.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3319,2300-0123,,0.85,,,10.0,30.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3320,2300-0124,,0.9,,,11.0,32.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3321,2300-0125,,0.95,,,11.0,32.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3322,2300-0126,,1.0,,,12.0,34.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3323,2300-0127,,1.1,,,14.0,36.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3324,2300-0128,,1.2,,,16.0,38.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3325,2300-0129,,1.25,,,16.0,38.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3326,2300-0130,,1.3,,,16.0,38.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3327,2300-0131,,1.35,,,18.0,40.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3328,2300-0132,,1.4,,,18.0,40.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3329,2300-0133,,1.45,,,18.0,40.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3330,2300-0134,,1.5,,,18.0,40.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3331,2300-0135,,1.6,,,20.0,43.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3332,2300-0136,,1.7,,,20.0,43.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3333,2300-0137,,1.75,,,22.0,46.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3334,2300-0138,,1.8,,,22.0,46.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3335,2300-0139,,1.9,,,22.0,46.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3336,2300-0140,,1.95,,,24.0,49.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3337,2300-0141,,2.0,,,24.0,49.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3338,2300-0142,,2.05,,,24.0,49.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3339,2300-0143,,2.1,,,24.0,49.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3340,2300-0144,,2.15,,,27.0,53.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3341,2300-0145,,2.2,,,27.0,53.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3342,2300-0146,,2.3,,,27.0,53.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3343,2300-0147,,2.4,,,30.0,57.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
